visitor_id,group,design,converted,time_on_page_sec,pages_visited,revenue
A_0000,A (Control),Blue Button,0,125.33103002799761,4,0.0
A_0001,A (Control),Blue Button,1,79.93966923869696,2,0.0
A_0002,A (Control),Blue Button,0,131.4059355301789,1,0.0
A_0003,A (Control),Blue Button,0,138.3175723585147,1,37.08864797447271
A_0004,A (Control),Blue Button,0,136.7937134379312,1,0.0
A_0005,A (Control),Blue Button,0,152.42342176663865,2,0.0
A_0006,A (Control),Blue Button,0,145.01766463646712,5,65.61431260696685
A_0007,A (Control),Blue Button,0,133.7754023768531,2,0.0
A_0008,A (Control),Blue Button,0,117.89502865624058,5,0.0
A_0009,A (Control),Blue Button,0,70.17117199452025,3,0.0
A_0010,A (Control),Blue Button,0,132.88854657397758,7,0.0
A_0011,A (Control),Blue Button,1,126.23063061489333,2,0.0
A_0012,A (Control),Blue Button,0,128.1473651158612,2,0.0
A_0013,A (Control),Blue Button,0,81.69754272539072,2,0.0
A_0014,A (Control),Blue Button,0,87.56830378775213,2,0.0
A_0015,A (Control),Blue Button,0,151.5945855999871,2,0.0
A_0016,A (Control),Blue Button,0,118.81334538430035,6,48.282914423017054
A_0017,A (Control),Blue Button,0,140.44502092117872,5,0.0
A_0018,A (Control),Blue Button,0,120.84955128391384,3,0.0
A_0019,A (Control),Blue Button,0,120.89268418487235,1,0.0
A_0020,A (Control),Blue Button,0,148.14851417927994,4,0.0
A_0021,A (Control),Blue Button,0,104.51865815347878,2,0.0
A_0022,A (Control),Blue Button,0,122.8836233082295,6,0.0
A_0023,A (Control),Blue Button,0,106.13174133884873,7,72.47146450231676
A_0024,A (Control),Blue Button,0,106.96511317703053,4,37.75767516457934
A_0025,A (Control),Blue Button,0,110.72483629594082,3,0.0
A_0026,A (Control),Blue Button,0,126.66401314901138,3,0.0
A_0027,A (Control),Blue Button,0,105.63754135009569,1,0.0
A_0028,A (Control),Blue Button,0,157.67268376720563,3,0.0
A_0029,A (Control),Blue Button,0,93.16178093341489,4,0.0
A_0030,A (Control),Blue Button,0,114.39385067515923,4,0.0
A_0031,A (Control),Blue Button,0,106.80806825177476,1,0.0
A_0032,A (Control),Blue Button,0,163.409336530612,3,0.0
A_0033,A (Control),Blue Button,1,125.89664329534725,1,0.0
A_0034,A (Control),Blue Button,1,150.95533618405904,1,0.0
A_0035,A (Control),Blue Button,0,75.43318880889083,4,0.0
A_0036,A (Control),Blue Button,0,128.01150797607778,8,42.73612472103755
A_0037,A (Control),Blue Button,0,146.6889238687031,3,0.0
A_0038,A (Control),Blue Button,0,122.46851967826272,5,0.0
A_0039,A (Control),Blue Button,0,151.96441125196054,2,0.0
A_0040,A (Control),Blue Button,0,104.48134649698883,4,0.0
A_0041,A (Control),Blue Button,0,162.2804232055674,3,0.0
A_0042,A (Control),Blue Button,0,188.9669437085775,7,0.0
A_0043,A (Control),Blue Button,1,109.11484318681023,1,0.0
A_0044,A (Control),Blue Button,0,106.63492435797684,6,27.83581389620833
A_0045,A (Control),Blue Button,0,163.60153431353103,3,0.0
A_0046,A (Control),Blue Button,0,167.38716437192136,4,0.0
A_0047,A (Control),Blue Button,0,104.31419918540195,6,0.0
A_0048,A (Control),Blue Button,0,107.39439548712429,4,0.0
A_0049,A (Control),Blue Button,0,111.54646173418479,8,0.0
A_0050,A (Control),Blue Button,1,79.66648466897169,5,0.0
A_0051,A (Control),Blue Button,0,92.44044160547405,5,0.0
A_0052,A (Control),Blue Button,1,89.87577699743797,4,0.0
A_0053,A (Control),Blue Button,0,96.96607304687615,3,0.0
A_0054,A (Control),Blue Button,0,118.95945337839656,2,51.385651874598864
A_0055,A (Control),Blue Button,1,127.02644197609563,4,0.0
A_0056,A (Control),Blue Button,0,166.5150147844223,6,0.0
A_0057,A (Control),Blue Button,0,90.04937877783627,4,0.0
A_0058,A (Control),Blue Button,0,149.5296719542975,2,0.0
A_0059,A (Control),Blue Button,0,113.58033467323473,1,0.0
A_0060,A (Control),Blue Button,0,118.51608871042701,3,0.0
A_0061,A (Control),Blue Button,0,140.2445847649981,3,0.0
A_0062,A (Control),Blue Button,0,86.31833935313105,3,0.0
A_0063,A (Control),Blue Button,0,131.4722923855215,1,0.0
A_0064,A (Control),Blue Button,0,124.99356624639168,2,0.0
A_0065,A (Control),Blue Button,0,134.77353792024448,6,0.0
A_0066,A (Control),Blue Button,0,128.67505931723454,5,0.0
A_0067,A (Control),Blue Button,0,193.65900419732682,5,0.0
A_0068,A (Control),Blue Button,0,100.86780047246052,6,0.0
A_0069,A (Control),Blue Button,1,104.07009134994547,2,0.0
A_0070,A (Control),Blue Button,0,101.30578420725706,2,0.0
A_0071,A (Control),Blue Button,0,103.33568642519236,2,0.0
A_0072,A (Control),Blue Button,0,100.87838618080447,1,0.0
A_0073,A (Control),Blue Button,0,155.67049593322656,1,0.0
A_0074,A (Control),Blue Button,0,162.61512743969564,2,0.0
A_0075,A (Control),Blue Button,0,102.87761118751571,1,63.15071279579174
A_0076,A (Control),Blue Button,0,95.02933280687314,3,0.0
A_0077,A (Control),Blue Button,0,134.14246669159212,3,0.0
A_0078,A (Control),Blue Button,0,103.43330867157087,6,0.0
A_0079,A (Control),Blue Button,0,138.98795453266533,5,0.0
A_0080,A (Control),Blue Button,0,126.087690625539,7,49.08353737991198
A_0081,A (Control),Blue Button,0,74.52767655008304,3,38.7680030596992
A_0082,A (Control),Blue Button,0,166.42515603990185,5,0.0
A_0083,A (Control),Blue Button,0,173.87633019286565,2,0.0
A_0084,A (Control),Blue Button,0,101.61633928546841,6,0.0
A_0085,A (Control),Blue Button,0,108.36895320192048,4,0.0
A_0086,A (Control),Blue Button,0,128.57596172174715,3,0.0
A_0087,A (Control),Blue Button,0,130.03370369961075,5,0.0
A_0088,A (Control),Blue Button,0,139.7563281801849,1,39.89314841510785
A_0089,A (Control),Blue Button,0,180.3061361629905,2,0.0
A_0090,A (Control),Blue Button,0,114.69158317517852,1,0.0
A_0091,A (Control),Blue Button,0,96.05108266384639,2,47.75816460252517
A_0092,A (Control),Blue Button,0,78.62042315956418,2,28.53753197562992
A_0093,A (Control),Blue Button,0,98.07209880174243,3,0.0
A_0094,A (Control),Blue Button,0,119.00619081378609,6,0.0
A_0095,A (Control),Blue Button,0,173.83673590553363,3,0.0
A_0096,A (Control),Blue Button,0,104.47166102891485,3,0.0
A_0097,A (Control),Blue Button,0,126.71363854916696,1,33.54284525556779
A_0098,A (Control),Blue Button,0,119.50731311781743,4,84.37866900228029
A_0099,A (Control),Blue Button,0,155.65179820344252,1,0.0
A_0100,A (Control),Blue Button,0,195.80797277620866,4,0.0
A_0101,A (Control),Blue Button,0,104.07393681239039,6,0.0
