Date,Month,Quarter,Year,Region,Segment,Channel,Product,Sales_Rep,Revenue,Profit,Marketing_Spend,Ad_Spend,Operating_Cost,Support_Cost,Refund_Amount,Discount_Pct,Units_Sold,Avg_Order_Value,Customers_Start,New_Customers,Customers_Churned,Customers_End,Customer_Lifetime_Months,Website_Visits,Conversion_Rate_Pct,Email_Campaigns,NPS_Score,CSAT_Score,Tickets_Raised,Tickets_Resolved,Churn_Rate_Pct,ROI_Pct,LTV,CAC,Profit_Margin_Pct,LTV_CAC_Ratio,Resolution_Rate_Pct,Revenue_Per_Customer
2021-01-01,January,Q1,2021,South,Government,Online,Product_C,Rep_17,42483.57,17780.64,3896.75,2370.36,18854.79,1951.39,886.79,15.34,416,236.35,993,110,42,1061,47,19637,2.78,6,76,7.9,23,17,4.23,356.29,11108.45,35.42,41.85,313.62,73.91,42.78
2021-01-02,January,Q1,2021,Central,Government,Social,Product_C,Rep_11,39388.76,19000.02,3439.42,1870.0,16044.79,904.53,1492.98,23.63,278,371.75,996,173,23,1146,38,12853,5.79,6,76,8.6,179,162,2.31,452.42,14126.5,19.88,48.24,710.59,90.5,39.55
2021-01-03,January,Q1,2021,Central,Startup,Social,Product_E,Rep_4,43398.6,18176.46,5405.3,3241.56,18297.07,1519.77,853.28,1.21,680,394.01,1205,154,79,1280,19,15663,4.38,6,56,9.4,110,101,6.56,236.27,7486.19,35.1,41.88,213.28,91.82,36.02
2021-01-04,January,Q1,2021,Central,Government,Social,Product_E,Rep_20,47855.39,16779.15,6195.04,3943.63,22385.42,2495.78,1977.3,0.03,489,519.87,873,143,67,949,43,2633,6.08,1,26,9.3,37,37,7.67,170.85,22354.41,43.32,35.06,516.03,100.0,54.82
2021-01-05,January,Q1,2021,South,Startup,Online,Product_E,Rep_1,39149.55,12525.24,3218.52,2124.29,21943.99,1461.8,523.22,15.0,739,489.1,1067,143,37,1173,12,9149,8.47,6,24,7.7,71,61,3.47,289.16,5869.2,22.51,31.99,260.74,85.92,36.69
2021-01-06,January,Q1,2021,South,Retail,Referral,Product_E,Rep_4,39229.72,10990.92,5709.29,3729.55,20180.15,2349.36,544.4,7.1,581,452.03,1169,234,46,1357,28,15671,8.06,1,70,8.3,146,114,3.93,92.51,12656.84,24.4,28.02,518.72,78.08,33.56
2021-01-07,January,Q1,2021,West,Enterprise,Social,Product_D,Rep_3,48376.54,17970.25,4046.12,2685.88,24310.83,2049.34,1263.55,22.01,499,230.37,1251,158,39,1370,20,5701,1.53,5,27,7.2,165,149,3.12,344.14,4607.4,25.61,37.15,179.91,90.3,38.67
2021-01-08,January,Q1,2021,Central,Enterprise,Partner,Product_C,Rep_10,44397.73,17340.2,5234.08,3938.71,20365.14,1458.31,956.24,8.18,85,464.0,988,126,54,1060,31,14349,7.7,7,75,7.5,46,46,5.47,231.29,14384.0,41.54,39.06,346.27,100.0,44.94
2021-01-09,January,Q1,2021,Central,Startup,Direct,Product_B,Rep_1,38293.27,9772.84,4964.12,2735.38,22453.29,1103.02,1240.92,7.24,471,358.03,1081,209,32,1258,56,2013,1.97,1,30,9.4,197,148,2.96,96.87,20049.68,23.75,25.52,844.2,75.13,35.42
2021-01-10,January,Q1,2021,West,Government,Direct,Product_A,Rep_4,43433.52,15010.99,6122.73,3641.89,20822.16,1477.64,791.12,6.74,669,548.41,1093,112,45,1160,43,17279,8.17,13,41,9.5,99,79,4.12,145.17,23581.63,54.67,34.56,431.34,79.8,39.74
